Countries,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
Nicaragua,6663919,6755895,6850540,6948392,7046310,7142529,7237313,7330715,7422450,7512564,7601360,7688686,7774417,7858704,7941633,8023271,8103378,8181700,8258476,8333755,8407196,8478904,8548953,8617299,8683724,8748153,8810803,8871604,8930546,8987448,9042168,9094641,9152497,9210720,9269314,9328281,9387623,9447342,9507441,9567923,9628789,9690043,9751686,9813721,9876151,9938979,10002205,10065834,10129868,10194309,10259161,10324424,10390103,10456200,10522717,10589657,10657023,10724818,10793044,10861704,10930800,11000337,11070315,11140739,11211611,11282934,11354710,11426943,11499635,11572790,11646411,11720499,11795059,11870094,11945605,12021597,12098073,12175034,12252486,12330430,12408870,12487809
Niger,23443400,24333639,25252722,26207977,27202843,28238972,29315971,30427550,31572965,32753299,33969221,35217942,36498899,37815958,39167073,40551808,41971174,43423749,44909740,46431153,47985369,49566690,51181048,52829810,54507499,56212092,57946395,59709808,61501999,63323897,65171542,67043296,69027341,71070101,73173313,75338766,77568303,79863820,82227269,84660660,87166065,89745613,92401498,95135981,97951386,100850109,103834616,106907444,110071208,113328599,116682388,120135427,123690653,127351091,131119854,135000147,138995273,143108627,147343711,151704125,156193579,160815892,165574995,170474937,175519885,180714130,186062092,191568318,197237492,203074438,209084119,215271647,221642286,228201454,234954731,241907861,249066758,256437512,264026392,271839854,279884543,288167303
Nigeria,203304496,208327405,213401323,218541212,223804632,229152217,234573603,240054483,245599161,251201204,256866062,262580426,268333202,274119414,279925063,285756014,291591598,297416662,303246595,309097424,314949915,320779660,326599329,332393067,338154157,343902355,349603702,355245595,360853520,366429556,371960240,377459883,383292002,389214232,395227966,401334619,407535625,413832443,420226553,426719457,433312684,440007782,446806326,453709913,460720168,467838738,475067297,482407544,489861205,497430032,505115805,512920331,520845444,528893007,537064913,545363083,553789468,562346048,571034836,579857874,588817236,597915029,607153392,616534496,626060548,635733786,645556485,655530954,665659538,675944619,686388614,696993979,707763207,718698829,729803418,741079584,752529976,764157289,775964255,787953649,800128292,812491044
North Macedonia,2114175,2072531,2065092,2057679,2051957,2051616,2050792,2049437,2047506,2044969,2041826,2038055,2033732,2028763,2023253,2017242,2010722,2003735,1996334,1988517,1980307,1971708,1962774,1953588,1944132,1934407,1924475,1914326,1903968,1893347,1882532,1871174,1860692,1850269,1839905,1829598,1819349,1809158,1799023,1788946,1778925,1768960,1759051,1749197,1739399,1729655,1719966,1710331,1700751,1691224,1681750,1672329,1662961,1653646,1644383,1635171,1626012,1616903,1607846,1598839,1589883,1580977,1572121,1563314,1554557,1545849,1537190,1528579,1520016,1511502,1503035,1494615,1486243,1477917,1469638,1461406,1453220,1445079,1436984,1428935,1420930,1412971
Norway,5348285,5379475,5408320,5457127,5496014,5534431,5572107,5609131,5645593,5681480,5716828,5751641,5785937,5819659,5853067,5886111,5918954,5951449,5983798,6015963,6047629,6078804,6109450,6139610,6169069,6197705,6225355,6252076,6278091,6303023,6326866,6349137,6374187,6399336,6424584,6449932,6475380,6500929,6526578,6552328,6578180,6604134,6630190,6656349,6682611,6708977,6735447,6762021,6788701,6815485,6842375,6869371,6896474,6923684,6951001,6978426,7005959,7033600,7061351,7089211,7117181,7145262,7173453,7201756,7230170,7258696,7287335,7316087,7344952,7373931,7403025,7432233,7461556,7490996,7520551,7550223,7580012,7609918,7639943,7670086,7700348,7730729
Oman,4602769,4543399,4520471,4576298,4644384,4713553,4780706,4846014,4909747,4972087,5033246,5093376,5152792,5211645,5270150,5328579,5387135,5446192,5505926,5566306,5627456,5689446,5752240,5815752,5879774,5944240,6008877,6073623,6138380,6202674,6266279,6328978,6395016,6461743,6529167,6597293,6666131,6735687,6805969,6876984,6948740,7021245,7094506,7168532,7243330,7318909,7395276,7472440,7550410,7629192,7708797,7789233,7870507,7952630,8035610,8119455,8204176,8289780,8376277,8463678,8551990,8641223,8731388,8822493,8914549,9007566,9101553,9196520,9292479,9389439,9487411,9586405,9686432,9787502,9889627,9992818,10097085,10202441,10308896,10416461,10525149,10634971
Pakistan,223293280,227196741,231402117,235824862,240485658,245209815,249948885,254714473,259516159,264344407,269181864,274029836,278894997,283775146,288660900,293546480,298432780,303322829,308188654,313022074,317831136,322595767,327302028,331973561,336630727,341250506,345818945,350343720,354810480,359208126,363535502,367808468,372371395,376990929,381667771,386402633,391196235,396049304,400962579,405936807,410972744,416071155,421232815,426458510,431749033,437105189,442527791,448017665,453575645,459202576,464899313,470666721,476505679,482417073,488401802,494460776,500594916,506805154,513092435,519457714,525901959,532426149,539031276,545718345,552488372,559342386,566281428,573306555,580418833,587619344,594909183,602289457,609761289,617325814,624984183,632737559,640587121,648534063,656579593,664724932,672971321,681320012
Panama,4232538,4294396,4351267,4408581,4468087,4527961,4586672,4644204,4700639,4756063,4810535,4864126,4917001,4969177,5020569,5071120,5120748,5169383,5216940,5263458,5308889,5353222,5396390,5438418,5479534,5519569,5558419,5596146,5632900,5668608,5703036,5736121,5772337,5808782,5845458,5882364,5919504,5956878,5994489,6032336,6070423,6108750,6147319,6186132,6225189,6264494,6304046,6343848,6383902,6424208,6464769,6505586,6546660,6587994,6629589,6671447,6713568,6755956,6798612,6841536,6884732,6928200,6971943,7015962,7060259,7104836,7149694,7194835,7240262,7285975,7331977,7378269,7424854,7471732,7518907,7566379,7614151,7662225,7710603,7759285,7808275,7857575
Papua New Guinea,9542492,9749640,9949437,10142619,10329931,10515788,10701144,10886097,11069871,11252452,11434334,11615322,11795728,11975671,12154395,12331461,12507085,12681353,12854191,13025474,13194712,13362082,13527645,13690710,13851796,14009881,14165403,14319594,14471387,14620589,14766879,14910369,15063999,15219212,15376025,15534453,15694513,15856223,16019599,16184658,16351418,16519896,16690110,16862078,17035818,17211347,17388686,17567852,17748863,17931740,18116501,18303166,18491754,18682285,18874780,19069258,19265739,19464245,19664797,19867414,20072120,20278935,20487880,20698979,20912252,21127723,21345414,21565349,21787549,22012039,22238841,22467981,22699482,22933367,23169663,23408394,23649584,23893259,24139445,24388168,24639453,24893328
Paraguay,6530029,6618695,6703799,6780744,6861524,6947270,7031341,7113876,7194655,7273521,7350459,7425448,7498454,7569644,7639257,7707287,7773694,7838570,7902181,7964226,8024671,8083610,8141028,8197013,8251538,8304646,8356299,8406438,8455070,8502115,8547721,8591486,8639312,8687404,8735764,8784393,8833292,8882464,8931910,8981631,9031628,9081904,9132460,9183297,9234418,9285822,9337513,9389492,9441760,9494319,9547171,9600316,9653758,9707497,9761535,9815875,9870516,9925462,9980714,10036273,10092141,10148321,10204813,10261619,10318742,10376183,10433944,10492026,10550431,10609162,10668220,10727606,10787323,10847372,10907756,10968475,11029533,11090931,11152670,11214753,11277182,11339958
Peru,32824864,33304756,33715471,34049588,34352719,34683444,35015825,35351784,35690300,36029236,36367136,36702393,37032851,37357050,37675482,37987772,38292986,38591846,38884546,39169734,39447878,39720162,39985297,40242211,40491961,40734414,40968891,41196444,41416289,41627090,41829207,42022554,42236516,42451568,42667715,42884962,43103316,43322781,43543364,43765069,43987904,44211873,44436983,44663238,44890646,45119212,45348941,45579840,45811915,46045171,46279615,46515253,46752090,46990134,47229389,47469863,47711561,47954489,48198655,48444064,48690722,48938636,49187812,49438257,49689978,49942979,50197270,50452854,50709741,50967935,51227444,51488274,51750432,52013925,52278759,52544942,52812481,53081381,53351651,53623296,53896325,54170744
Philippines,110380800,112190977,113880328,115559009,117337368,119106224,120864358,122610193,124343503,126062041,127766369,129453321,131122947,132771740,134393296,135989261,137561513,139105043,140621204,142116809,143584902,145022250,146428606,147801667,149149914,150475799,151774780,153050505,154302926,155526647,156722225,157891622,159144261,160406837,161679430,162962120,164254986,165558108,166871569,168195451,169529835,170874806,172230447,173596844,174974080,176362243,177761419,179171696,180593160,182025903,183470011,184925577,186392691,187871444,189361928,190864238,192378466,193904707,195443057,196993611,198556467,200131722,201719474,203319822,204932867,206558709,208197450,209849192,211514037,213192091,214883458,216588244,218306554,220038497,221784180,223543712,225317204,227104766,228906510,230722548,232552993,234397960
Poland,38493600,37899070,37747124,36821749,35885420,35151336,34619928,34348604,34173604,34040720,33895692,33738788,33570980,33392874,33205158,33010578,32810548,32605956,32399080,32191192,31982450,31774518,31569720,31367146,31167896,30973002,30780706,30592172,30405926,30219790,30034244,29843506,29659518,29476665,29294939,29114334,28934842,28756456,28579170,28402977,28227871,28053844,27880890,27709002,27538174,27368399,27199670,27031982,26865328,26699701,26535095,26371504,26208922,26047342,25886758,25727164,25568554,25410922,25254262,25098567,24943833,24790052,24637219,24485329,24334375,24184352,24035253,23887074,23739808,23593451,23447995,23303436,23159769,23016987,22875086,22734059,22593902,22454608,22316174,22178593,22041860,21905971
Portugal,10289921,10297081,10361831,10409704,10382854,10355641,10327687,10299292,10270132,10240194,10209147,10177349,10144797,10111091,10076976,10042102,10006400,9969598,9931406,9892344,9852092,9810455,9767387,9723058,9676973,9629344,9580295,9530190,9478700,9426195,9372612,9316816,9264996,9213465,9162220,9111260,9060583,9010189,8960074,8910239,8860680,8811397,8762389,8713653,8665188,8616992,8569065,8521404,8474008,8426876,8380006,8333397,8287047,8240955,8195119,8149538,8104210,8059135,8014310,7969735,7925408,7881327,7837491,7793899,7750550,7707442,7664573,7621943,7579550,7537393,7495470,7453781,7412323,7371096,7330098,7289328,7248785,7208468,7168375,7128504,7088856,7049428
Qatar,2807242,2760385,2688235,2695122,2716391,2737061,2757220,2776990,2796538,2816020,2835555,2855291,2875390,2896022,2917304,2939367,2962241,2985916,3010424,3035693,3061640,3088149,3115115,3142502,3170142,3197862,3225544,3253042,3280240,3306947,3333052,3358454,3385686,3413139,3440815,3468714,3496841,3525195,3553779,3582595,3611644,3640930,3670452,3700214,3730217,3760464,3790956,3821695,3852683,3883923,3915415,3947164,3979169,4011435,4043961,4076752,4109808,4143133,4176728,4210595,4244736,4279155,4313853,4348831,4384094,4419643,4455479,4491607,4528027,4564743,4601756,4639069,4676685,4714606,4752835,4791373,4830224,4869390,4908874,4948678,4988804,5029256
Romania,19524212,19265250,19122059,19047009,18714814,18482144,18304792,18198154,18118512,18050040,17978554,17903766,17826154,17745606,17662976,17578502,17492498,17405748,17318774,17231814,17145460,17060460,16976716,16894688,16814198,16735159,16657352,16579758,16501820,16421875,16339122,16249819,16169517,16089611,16010101,15930983,15852257,15773919,15695968,15618403,15541221,15464421,15388000,15311956,15236289,15160995,15086074,15011522,14937339,14863523,14790072,14716983,14644256,14571888,14499877,14428223,14356922,14285974,14215377,14145128,14075227,14005671,13936459,13867588,13799058,13730867,13663013,13595494,13528309,13461455,13394933,13328738,13262871,13197330,13132112,13067217,13002642,12938387,12874449,12810826,12747519,12684524
Russia,145742288,144073139,144130482,144236933,143715712,143249792,142824784,142449120,142078864,141699168,141290592,140856784,140399168,139922576,139434544,138938192,138442096,137950848,137466128,136990192,136518352,136058288,135611008,135180352,134767648,134369344,133983328,133608880,133240120,132864848,132481456,132064640,131684212,131304880,130926641,130549491,130173428,129798448,129424549,129051726,128679977,128309299,127939689,127571144,127203660,126837235,126471865,126107548,125744281,125382059,125020882,124660744,124301644,123943579,123586545,123230539,122875559,122521601,122168663,121816742,121465835,121115938,120767049,120419166,120072284,119726402,119381516,119037623,118694721,118352807,118011878,117671931,117332963,116994971,116657953,116321906,115986827,115652714,115319562,114987371,114656136,114325856
Rwanda,12835029,13146362,13461888,13776698,14094683,14414910,14737248,15061867,15387840,15715617,16045268,16375704,16706697,17038488,17371424,17705321,18040220,18376507,18714064,19051669,19388318,19724007,20059538,20394731,20728002,21060157,21391576,21722279,22052274,22380425,22706656,23030046,23372502,23720051,24072767,24430729,24794013,25162700,25536868,25916601,26301980,26693090,27090016,27492844,27901662,28316559,28737625,29164953,29598635,30038766,30485442,30938760,31398818,31865718,32339561,32820449,33308488,33803785,34306446,34816582,35334304,35859724,36392958,36934120,37483330,38040706,38606370,39180446,39763058,40354334,40954402,41563393,42181440,42808677,43445241,44091270,44746907,45412292,46087572,46772893,47468405,48174259
Saint Kitts and Nevis,47739,47642,47606,47657,47755,47847,47935,48016,48086,48148,48200,48247,48282,48300,48309,48310,48297,48270,48236,48191,48133,48067,47989,47898,47797,47691,47578,47453,47316,47179,47036,46882,46744,46606,46469,46333,46196,46060,45925,45790,45655,45520,45386,45253,45120,44987,44854,44722,44591,44460,44329,44198,44068,43939,43809,43680,43552,43424,43296,43168,43041,42915,42788,42662,42537,42412,42287,42162,42038,41915,41791,41668,41546,41423,41301,41180,41059,40938,40817,40697,40578,40458
Saint Lucia,178594,179237,179651,179857,180251,180805,181310,181787,182236,182631,182976,183274,183518,183700,183831,183910,183927,183889,183794,183636,183425,183155,182826,182459,182046,181576,181055,180493,179892,179245,178565,177856,177223,176592,175964,175338,174714,174092,173472,172855,172240,171627,171016,170407,169801,169196,168594,167994,167396,166800,166207,165615,165026,164439,163853,163270,162689,162110,161533,160958,160385,159815,159246,158679,158114,157552,156991,156432,155875,155321,154768,154217,153668,153121,152576,152033,151492,150953,150416,149881,149347,148816
Saint Vincent and the Grenadines,104940,104632,104332,103948,103698,103683,103823,103952,104062,104161,104251,104322,104376,104417,104441,104447,104438,104401,104348,104277,104183,104070,103931,103770,103586,103384,103158,102902,102627,102337,102025,101691,101400,101110,100821,100532,100245,99958,99672,99387,99103,98819,98537,98255,97974,97693,97414,97135,96857,96580,96304,96029,95754,95480,95207,94935,94663,94392,94122,93853,93585,93317,93050,92784,92518,92254,91990,91727,91464,91203,90942,90682,90422,90164,89906,89649,89392,89136,88881,88627,88374,88121
Samoa,211915,214929,218764,222382,225681,228966,232231,235495,238761,242024,245308,248627,251982,255362,258775,262233,265731,269262,272837,276442,280077,283738,287404,291054,294704,298373,302043,305699,309327,312927,316493,320016,323737,327501,331309,335161,339058,343001,346989,351024,355105,359234,363411,367637,371911,376236,380610,385036,389513,394042,398623,403258,407947,412691,417489,422343,427254,432222,437248,442332,447475,452678,457941,463266,468653,474102,479614,485191,490832,496540,502313,508154,514062,520039,526086,532203,538391,544651,550984,557391,563872,570428
Sao Tome and Principe,214612,218641,223107,227380,231856,236381,240979,245664,250413,255223,260101,265036,270026,275089,280216,285383,290575,295789,301024,306261,311490,316692,321857,326985,332079,337139,342154,347130,352075,356975,361833,366663,371772,376951,382203,387528,392928,398402,403953,409581,415288,421074,426940,432889,438920,445035,451236,457523,463897,470360,476914,483558,490296,497127,504053,511076,518196,525416,532737,540159,547685,555316,563053,570897,578851,586916,595094,603385,611792,620315,628958,637721,646606,655615,664750,674011,683402,692924,702578,712367,722292,732355
Saudi Arabia,35827364,35997107,35950396,36408820,36947025,37473929,37989969,38494876,38995485,39492450,39980836,40461368,40933778,41399264,41858423,42310341,42755976,43195155,43627940,44053187,44470702,44881078,45282942,45674812,46056082,46426615,46785937,47133219,47466783,47785458,48088523,48374543,48698679,49024988,49353482,49684178,50017090,50352232,50689620,51029269,51371193,51715409,52061931,52410775,52761956,53115491,53471394,53829682,54190371,54553477,54919015,55287003,55657457,56030393,56405828,56783778,57164261,57547293,57932892,58321075,58711858,59105261,59501299,59899991,60301354,60705406,61112166,61521652,61933881,62348873,62766645,63187216,63610606,64036832,64465915,64897872,65332724,65770490,66211189,66654840,67101465,67551082
Senegal,16000783,16436120,16876720,17316449,17763163,18221567,18687800,19161050,19641034,20128434,20623578,21125872,21635686,22153523,22679016,23211962,23753290,24303115,24860626,25424698,25993655,26568156,27148556,27732291,28321000,28916792,29516982,30119469,30724934,31334118,31947265,32562869,33208771,33867485,34539265,35224370,35923064,36635617,37362305,38103406,38859208,39630001,40416084,41217758,42035335,42869128,43719461,44586660,45471060,46373003,47292837,48230916,49187602,50163265,51158280,52173032,53207912,54263320,55339662,56437354,57556820,58698490,59862807,61050218,62261182,63496166,64755646,66040110,67350051,68685975,70048399,71437847,72854855,74299970,75773750,77276763,78809590,80372820,81967059,83592920,85251030,86942030
Serbia,7401056,6899126,6834326,6664449,6604989,6566006,6526200,6485310,6442928,6399119,6353839,6307460,6259900,6211251,6161856,6111775,6061174,6010069,5958811,5907358,5855847,5804495,5753272,5702326,5651603,5600957,5550436,5500178,5450072,5399974,5349996,5298996,5250092,5201639,5153633,5106070,5058946,5012258,4966000,4920169,4874760,4829771,4785198,4741035,4697280,4653929,4610978,4568424,4526262,4484489,4443102,4402097,4361470,4321218,4281337,4241825,4202677,4163891,4125463,4087389,4049666,4012292,3975263,3938575,3902226,3866213,3830532,3795180,3760154,3725452,3691070,3657005,3623254,3589815,3556685,3523861,3491339,3459118,3427193,3395564,3364226,3333178
Seychelles,104386,98462,99258,119878,120622,121327,121995,122634,123240,123818,124370,124890,125385,125863,126317,126751,127166,127564,127944,128303,128641,128963,129262,129538,129795,130029,130242,130429,130587,130713,130817,130881,131009,131137,131266,131394,131523,131652,131781,131910,132039,132168,132298,132427,132557,132687,132817,132947,133077,133207,133338,133469,133599,133730,133861,133992,134123,134255,134386,134518,134650,134781,134913,135045,135178,135310,135443,135575,135708,135841,135974,136107,136240,136374,136507,136641,136775,136909,137043,137177,137312,137446
Sierra Leone,8046830,8233970,8420641,8605718,8791092,8977972,9165377,9353150,9540988,9728849,9917103,10105188,10292481,10479347,10666285,10852747,11037683,11220979,11402875,11583095,11761685,11938548,12113574,12286370,12457058,12626220,12793558,12958858,13122257,13283013,13440438,13595023,13761243,13929496,14099805,14272197,14446697,14623330,14802122,14983101,15166293,15351724,15539423,15729416,15921732,16116400,16313448,16512905,16714801,16919165,17126028,17335420,17547372,17761916,17979083,18198905,18421414,18646644,18874628,19105400,19338993,19575442,19814782,20057048,20302276,20550503,20801765,21056098,21313541,21574132,21837909,22104912,22375178,22648749,22925665,23205967,23489695,23776893,24067602,24361866,24659727,24961230
Singapore,5866408,5685807,5453566,5637022,5673743,5709813,5744779,5778657,5811002,5841665,5870155,5896621,5920710,5942186,5960936,5976630,5989398,5999241,6006136,6010390,6012287,6012226,6009915,6005881,6000441,5993746,5985880,5977122,5967626,5957365,5946491,5934326,5924069,5913829,5903607,5893403,5883216,5873047,5862895,5852762,5842645,5832546,5822465,5812401,5802354,5792325,5782313,5772318,5762341,5752381,5742438,5732512,5722604,5712712,5702838,5692980,5683140,5673317,5663511,5653721,5643949,5634194,5624455,5614733,5605028,5595340,5585669,5576014,5566376,5556754,5547150,5537561,5527990,5518435,5508896,5499374,5489869,5480379,5470907,5461450,5452010,5442587
Slovakia,5453932,5458827,5447247,5431752,5322188,5237360,5177395,5149697,5133771,5122990,5110567,5096504,5081037,5064188,5046113,5026925,5006704,4985929,4964693,4943124,4921435,4899862,4878309,4857010,4836005,4814934,4793992,4772988,4752142,4731257,4710365,4688560,4667753,4647039,4626417,4605886,4585447,4565098,4544839,4524670,4504591,4484601,4464700,4444887,4425162,4405524,4385973,4366510,4347132,4327841,4308635,4289515,4270479,4251528,4232661,4213878,4195178,4176561,4158026,4139574,4121204,4102915,4084707,4066581,4048534,4030568,4012682,3994874,3977146,3959497,3941926,3924432,3907017,3889679,3872417,3855233,3838124,3821092,3804135,3787253,3770446,3753714
Slovenia,2112905,2102419,2108079,2111986,2111064,2109952,2108532,2106740,2104539,2101914,2098821,2095335,2091482,2087309,2082806,2077991,2072945,2067685,2062298,2056772,2051155,2045511,2039835,2034057,2028212,2022166,2015899,2009480,2002861,1996158,1989246,1981948,1975227,1968528,1961852,1955199,1948569,1941961,1935375,1928812,1922271,1915752,1909255,1902780,1896327,1889896,1883487,1877100,1870734,1864390,1858068,1851766,1845487,1839228,1832991,1826775,1820580,1814406,1808253,1802120,1796009,1789918,1783848,1777799,1771770,1765761,1759773,1753805,1747858,1741930,1736023,1730136,1724268,1718421,1712593,1706785,1700997,1695229,1689480,1683750,1678040,1672350
Solomon Islands,675000,691191,707851,724273,740424,756673,773027,789449,805947,822593,839363,856264,873346,890636,908135,925799,943640,961667,979865,998284,1016888,1035616,1054447,1073371,1092351,1111355,1130412,1149476,1168539,1187560,1206524,1225407,1245343,1265604,1286194,1307119,1328385,1349997,1371960,1394280,1416964,1440017,1463445,1487253,1511450,1536040,1561030,1586426,1612236,1638466,1665122,1692212,1719743,1747721,1776155,1805052,1834418,1864263,1894592,1925416,1956740,1988575,2020927,2053806,2087219,2121177,2155686,2190757,2226399,2262620,2299431,2336841,2374859,2413496,2452761,2492666,2533219,2574432,2616316,2658881,2702139,2746100
Somalia,15981312,16537016,17065581,17597511,18143378,18706922,19281903,19867185,20463994,21071158,21689079,22316857,22954690,23603148,24260802,24929000,25606196,26289267,26980593,27679425,28383844,29094714,29812160,30535607,31263713,31997075,32734341,33475243,34220748,34967417,35714724,36462830,37258016,38070544,38900791,39749145,40615999,41501758,42406834,43331648,44276630,45242221,46228869,47237034,48267186,49319803,50395375,51494404,52617401,53764888,54937400,56135482,57359692,58610599,59888787,61194849,62529395,63893044,65286432,66710207,68165032,69651584,71170554,72722651,74308596,75929128,77585000,79276984,81005867,82772453,84577566,86422044,88306748,90232553,92200356,94211073,96265641,98365015,100510172,102702111,104941852,107230437
South Africa,58087060,58801927,59392255,59893885,60414495,61020221,61673081,62305039,62918916,63514502,64093732,64659278,65211526,65752924,66284189,66804167,67314133,67815933,68308246,68788495,69256823,69713937,70160652,70595132,71016168,71423671,71816201,72192155,72551393,72894219,73220860,73529753,73877339,74226568,74577447,74929986,75284191,75640070,75997632,76356883,76717834,77080490,77444860,77810954,78178777,78548340,78919649,79292714,79667542,80044142,80422522,80802691,81184657,81568429,81954015,82341423,82730663,83121743,83514671,83909457,84306109,84704637,85105048,85507352,85911557,86317674,86725710,87135675,87547578,87961428,88377234,88795006,89214753,89636484,90060209,90485937,90913677,91343439,91775233,92209067,92644953,93082899
South Korea,51803832,51836239,51744876,51628117,51559476,51482304,51400304,51315340,51223644,51125872,51020792,50903768,50774156,50629560,50468776,50287468,50084184,49859824,49614008,49346792,49058696,48749832,48421404,48077656,47719404,47348528,46968452,46578744,46177992,45764656,45338916,44893100,44489166,44088867,43692169,43299041,42909450,42523364,42140752,41761583,41385826,41013449,40644423,40278717,39916302,39557148,39201225,38848505,38498959,38152557,37809273,37469077,37131942,36797840,36466745,36138629,35813465,35491227,35171888,34855422,34541804,34231008,33923008,33617780,33315298,33015537,32718474,32424083,32132342,31843225,31556710,31272773,30991390,30712539,30436198,30162342,29890951,29622002,29355473,29091341,28829587,28570187
Spain,47131372,47365655,47415794,47778340,47732632,47678684,47616260,47548020,47472648,47391696,47306284,47214168,47118480,47018228,46912692,46800880,46685068,46563396,46436496,46303996,46163264,46015068,45856772,45688436,45510608,45323560,45125928,44916524,44694528,44460856,44215268,43952896,43721974,43492266,43263764,43036463,42810357,42585438,42361700,42139139,41917746,41697517,41478445,41260523,41043747,40828110,40613605,40400228,40187971,39976830,39766798,39557869,39350039,39143300,38937647,38733075,38529577,38327149,38125784,37925477,37726222,37528015,37330849,37134718,36939618,36745543,36552488,36360447,36169415,35979386,35790356,35602319,35415270,35229204,35044115,34859999,34676850,34494663,34313434,34133156,33953826,33775438
Sri Lanka,21649664,21919000,22156000,22181000,22241304,22296324,22347030,22391672,22431256,22465938,22497050,22523328,22545400,22563672,22578912,22590136,22597026,22600618,22600150,22595344,22584594,22568712,22547880,22521436,22490326,22452548,22409886,22361258,22307076,22248042,22184164,22112856,22053924,21995149,21936531,21878069,21819763,21761612,21703616,21645775,21588088,21530555,21473175,21415948,21358873,21301951,21245180,21188560,21132092,21075774,21019606,20963587,20907718,20851998,20796426,20741003,20685727,20630599,20575617,20520782,20466093,20411550,20357152,20302899,20248791,20194827,20141007,20087330,20033796,19980405,19927156,19874049,19821084,19768260,19715576,19663033,19610630,19558367,19506243,19454258,19402411,19350703
Sudan,43232092,44440486,45657202,46874204,48109006,49358228,50614633,51878825,53150426,54427201,55708982,56997099,58292751,59596368,60911388,62238161,63574240,64917690,66271201,67632933,69000685,70376379,71759106,73151831,74552881,75955416,77363663,78780862,80204857,81634331,83064247,84494269,85997396,87527262,89084345,90669127,92282103,93923772,95594647,97295246,99026098,100787741,102580723,104405602,106262945,108153329,110077343,112035585,114028662,116057197,118121818,120223168,122361900,124538680,126754184,129009101,131304133,133639992,136017406,138437113,140899866,143406430,145957585,148554125,151196856,153886601,156624195,159410491,162246353,165132665,168070323,171060242,174103350,177200594,180352937,183561359,186826858,190150449,193533166,196976060,200480203,204046683
Suriname,600305,607065,612985,618040,623236,628785,634221,639523,644697,649746,654678,659508,664205,668761,673183,677458,681584,685561,689374,693015,696508,699860,703054,706082,708977,711736,714358,716841,719188,721418,723527,725519,727772,730032,732299,734573,736854,739143,741438,743740,746050,748367,750691,753022,755361,757706,760059,762420,764787,767162,769544,771934,774331,776736,779148,781568,783995,786429,788872,791321,793779,796244,798716,801197,803685,806181,808684,811195,813715,816241,818776,821319,823869,826428,828994,831569,834151,836741,839340,841946,844561,847184
Sweden,10267922,10353442,10415811,10486941,10544776,10600615,10654212,10705555,10755367,10803599,10850381,10895842,10940049,10984186,11027395,11070837,11114720,11159205,11204238,11249440,11295286,11341845,11388856,11435725,11482342,11528452,11573783,11617689,11660135,11701109,11740848,11778568,11819958,11861493,11903174,11945002,11986976,12029099,12071369,12113787,12156355,12199072,12241940,12284958,12328127,12371448,12414921,12458547,12502326,12546259,12590347,12634589,12678987,12723541,12768251,12813119,12858144,12903327,12948670,12994171,13039832,13085654,13131637,13177782,13224088,13270558,13317190,13363987,13410948,13458073,13505365,13552823,13600447,13648239,13696199,13744327,13792625,13841092,13889729,13938538,13987518,14036670
Switzerland,8575593,8638167,8704546,8775760,8827979,8878451,8927157,8974389,9020055,9063875,9106134,9146574,9185281,9222635,9258601,9293430,9326965,9359575,9391407,9421884,9451294,9479488,9506703,9532561,9557002,9580099,9601741,9622055,9641247,9659149,9676189,9691556,9709620,9727717,9745848,9764013,9782211,9800444,9818710,9837011,9855345,9873714,9892117,9910555,9929026,9947533,9966073,9984649,10003258,10021903,10040582,10059296,10078045,10096829,10115648,10134502,10153391,10172316,10191275,10210270,10229301,10248366,10267468,10286605,10305777,10324986,10344230,10363510,10382826,10402178,10421566,10440990,10460451,10479947,10499480,10519050,10538656,10558298,10577977,10597693,10617445,10637235
Tajikistan,9337008,9543207,9750064,9952787,10143543,10331513,10516940,10699866,10880747,11060158,11239983,11421430,11604659,11790372,11979029,12170662,12364586,12560173,12757794,12956641,13155611,13354458,13552075,13747565,13940358,14130345,14317447,14501303,14682375,14859804,15032352,15200989,15384136,15569489,15757075,15946921,16139055,16333504,16530295,16729458,16931020,17135010,17341458,17550394,17761847,17975847,18192426,18411615,18633444,18857946,19085153,19315097,19547811,19783330,20021686,20262914,20507048,20754124,21004176,21257241,21513356,21772556,22034879,22300362,22569044,22840963,23116159,23394670,23676537,23961799,24250499,24542677,24838375,25137636,25440503,25747018,26057227,26371173,26688901,27010458,27335889,27665241
